site_id,datetime,DO_mg_L,EC_uS_cm,pH
100515,1994-06-25 00:00:00,,884.0,6.3
100515,1994-09-05 00:00:00,,915.0,
100515,1994-12-12 00:00:00,,905.0,
100515,1995-03-06 00:00:00,,873.0,
100515,1995-06-06 00:00:00,,882.0,
100515,1995-09-11 00:00:00,,840.0,
100515,1995-12-04 00:00:00,,884.0,
100515,1996-03-22 00:00:00,,863.0,
100515,1996-03-22 01:00:00,,890.0,
100515,1996-06-03 00:00:00,,845.0,
100515,1996-09-03 00:00:00,,658.0,
100515,1996-12-09 00:00:00,,870.0,
100515,1997-03-03 00:00:00,,840.0,
100515,1997-06-02 00:00:00,,847.0,
100515,1997-09-08 00:00:00,,828.0,6.3
100515,1998-03-02 00:00:00,,861.0,7.0
100515,1998-06-01 00:00:00,,845.0,7.0
100515,1998-08-31 00:00:00,,852.0,6.8
100515,1998-11-30 00:00:00,,840.0,7.2
100515,1999-03-01 00:00:00,,762.0,7.1
100515,1999-05-31 00:00:00,,690.0,7.3
100515,1999-08-30 00:00:00,,907.0,7.1
100515,1999-11-29 00:00:00,,760.0,7.1
100515,2000-03-06 00:00:00,,824.0,7.0
100515,2000-06-05 00:00:00,,794.0,6.8
100515,2000-09-04 00:00:00,,832.0,7.3
100515,2000-09-04 01:00:00,,,7.3
100515,2000-12-04 00:00:00,,863.0,7.6
100515,2001-03-05 00:00:00,,946.0,6.8
100515,2001-09-03 00:00:00,,743.0,7.7
100515,2001-12-03 00:00:00,,931.0,7.2
100515,2002-03-04 00:00:00,,900.0,7.4
100515,2002-03-04 02:00:00,,860.0,
100515,2002-06-03 00:00:00,,1053.0,7.0
100515,2002-09-02 00:00:00,,,7.1
100515,2002-12-02 00:00:00,,,6.9
100515,2003-03-03 00:00:00,,,6.8
100515,2003-06-02 00:00:00,,,6.7
100515,2003-12-01 00:00:00,,,6.7
100515,2004-05-31 12:00:00,,,7.4
100515,2004-11-25 12:00:00,,,7.2
100515,2005-03-01 12:00:00,,,7.1
100515,2005-06-07 12:00:00,,,7.0
100515,2005-09-05 12:00:00,,,7.1
100515,2005-12-05 12:00:00,,,7.1
100515,2006-03-07 04:00:00,,,6.9
100515,2006-06-08 02:00:00,,,6.9
100515,2006-09-04 14:00:00,,,7.1
100515,2006-12-04 14:00:00,,,7.1
100515,2007-03-05 12:00:00,,,6.9
100515,2007-12-03 18:00:00,,,6.7
100515,2008-03-04 10:00:00,,,6.5
100533,1978-05-06 00:00:00,,1498.0,
100533,1978-05-06 01:00:00,,1175.0,
100533,1994-06-27 00:00:00,,1085.0,7.09
100533,2008-06-10 15:00:00,,,7.42
100594,1993-09-14 00:00:00,,23200.0,
100975,1991-04-28 00:00:00,,420.0,
100975,1992-01-30 00:00:00,,633.0,7.17
100975,1995-05-05 12:00:00,,610.0,
100975,1996-05-01 00:00:00,,802.0,8.93
100975,1996-09-17 00:00:00,,638.0,6.13
100976,1991-04-28 00:00:00,,690.0,
100976,1992-01-30 00:00:00,,689.0,7.15
100976,1995-05-05 12:00:00,,720.0,
100976,1996-05-01 00:00:00,,751.0,8.87
100976,1996-09-17 00:00:00,,772.0,6.23
100976,2010-02-15 12:00:00,,780.0,6.59
100977,1991-04-28 00:00:00,,1000.0,
100977,1992-01-31 00:00:00,,761.0,7.15
100977,1995-05-05 13:00:00,,810.0,
100977,1996-05-01 00:00:00,,1701.0,8.67
100977,1996-09-17 00:00:00,,1287.0,6.06
100977,2010-02-15 13:00:00,,2150.0,6.87
100978,1991-04-28 00:00:00,,580.0,
100978,1992-01-31 00:00:00,,518.0,7.34
100978,1995-05-05 10:00:00,,650.0,
100978,1996-05-01 00:00:00,,582.0,7.27
100978,1996-09-17 00:00:00,,555.0,6.09
100979,1991-04-28 00:00:00,,1200.0,
100979,1992-01-31 00:00:00,,1769.0,7.2
100979,1995-05-05 11:00:00,,1300.0,
100979,1996-05-01 00:00:00,,1807.0,8.41
100979,1996-09-17 00:00:00,,1428.0,6.14
100979,2010-02-15 15:00:00,,1200.0,6.98
100979,2014-10-15 10:00:00,,1130.0,7.89
100980,1991-04-28 00:00:00,,970.0,
100980,1992-01-31 00:00:00,,930.0,7.24
100980,1995-05-05 11:00:00,,890.0,
100980,1996-05-01 00:00:00,,913.0,8.56
100980,1996-09-17 00:00:00,,724.0,6.14
101012,1978-05-29 00:00:00,,2600.0,
101012,1978-06-08 00:00:00,,2100.0,
101012,1985-06-26 00:00:00,,2700.0,
101012,1985-12-10 00:00:00,,2800.0,
101012,1986-04-08 00:00:00,,2800.0,
101012,1986-10-15 00:00:00,,2800.0,
101012,1987-03-11 00:00:00,,2800.0,
101012,1987-10-13 00:00:00,,2800.0,
101238,1988-12-05 00:00:00,,,7.24
101238,1989-03-07 00:00:00,,620.0,7.3
101238,1989-06-27 00:00:00,,,7.34
101238,1989-09-18 00:00:00,,,7.3
101238,1989-12-05 00:00:00,,,7.79
101238,1990-03-29 00:00:00,,590.0,6.75
101238,1990-06-05 00:00:00,,,7.69
101238,1990-09-17 00:00:00,,,7.22
101238,1990-12-03 00:00:00,,,7.25
101238,1991-03-18 00:00:00,,,7.11
101238,1991-06-24 00:00:00,,,6.86
101238,1991-09-17 00:00:00,,,6.95
101238,1991-12-10 00:00:00,,,7.47
101238,1992-03-24 00:00:00,,,6.95
101238,1992-06-02 00:00:00,,,7.09
101238,1992-09-08 00:00:00,,,7.55
101238,1992-12-08 00:00:00,,,7.06
101238,1994-06-27 00:00:00,,634.0,7.41
101238,2008-06-10 16:00:00,,,7.11
101239,1975-11-20 00:00:00,,1085.0,
101239,1975-11-21 00:00:00,,1135.0,
101239,1975-11-21 01:00:00,,1300.0,
101239,1975-11-21 02:00:00,,1419.0,
101239,1975-11-27 00:00:00,,1245.0,
101239,1975-11-28 00:00:00,,1270.0,
101239,1975-11-28 01:00:00,,1270.0,
101239,1975-11-28 02:00:00,,1280.0,
101239,1975-11-28 03:00:00,,1320.0,
101239,1975-11-29 00:00:00,,1295.0,
101239,1975-11-29 01:00:00,,1320.0,
101239,1975-11-29 02:00:00,,1300.0,
101239,1975-11-30 00:00:00,,1285.0,
101239,1975-11-30 01:00:00,,1275.0,
101241,1988-03-29 00:00:00,,720.0,7.15
101241,1988-12-05 00:00:00,,,7.11
101241,1989-03-07 00:00:00,,770.0,7.2
101241,1989-06-27 00:00:00,,,7.24
101241,1989-09-18 00:00:00,,,7.0
101241,1989-12-05 00:00:00,,,7.75
101241,1990-03-29 00:00:00,,760.0,6.82
101241,1990-06-05 00:00:00,,,7.33
101241,1990-09-17 00:00:00,,,7.48
101241,1990-12-03 00:00:00,,,7.11
101241,1991-03-18 00:00:00,,,7.24
101241,1991-06-24 00:00:00,,,6.73
101241,1991-09-17 00:00:00,,,6.87
101241,1991-12-10 00:00:00,,,7.15
101241,1992-03-24 00:00:00,,,6.43
101241,1992-06-02 00:00:00,,,6.9
101241,1992-09-08 00:00:00,,,7.41
101241,1992-12-08 00:00:00,,,6.74
101241,1993-03-05 00:00:00,,790.0,6.93
101241,1993-06-03 00:00:00,,,7.17
101241,1994-09-05 00:00:00,,454.0,
101241,1994-12-12 00:00:00,,410.0,
101241,1995-03-06 00:00:00,,726.0,
101241,1995-06-05 00:00:00,,841.0,
101241,1995-12-04 00:00:00,,747.0,
101241,1996-06-03 00:00:00,,312.0,
101241,1996-09-03 00:00:00,,507.0,
101241,1996-12-09 00:00:00,,735.0,
101241,1997-03-03 00:00:00,,616.0,
101241,1997-06-02 00:00:00,,780.0,
101241,1997-09-08 00:00:00,,726.0,6.6
101241,1998-03-02 00:00:00,,625.0,7.7
101241,1998-06-01 00:00:00,,750.0,7.4
101241,1998-08-31 00:00:00,,773.0,7.3
101241,1998-11-30 00:00:00,,576.0,7.8
101241,1999-03-01 00:00:00,,694.0,7.9
101241,1999-05-31 00:00:00,,580.0,7.6
101241,1999-08-30 00:00:00,,529.0,8.2
101241,1999-11-29 00:00:00,,333.0,8.4
101241,2000-03-06 00:00:00,,610.0,6.7
101241,2000-06-05 00:00:00,,294.0,6.8
101241,2000-09-04 00:00:00,,409.0,5.8
101241,2000-09-04 01:00:00,,,5.8
101241,2000-12-04 00:00:00,,220.0,8.4
101241,2001-01-01 00:00:00,,151.0,
101241,2001-03-05 00:00:00,,312.0,6.9
101241,2001-09-03 00:00:00,,295.0,7.3
101241,2001-12-03 00:00:00,,369.0,7.3
101241,2002-03-04 00:00:00,,276.0,7.8
101241,2002-06-03 00:00:00,,662.0,7.1
101241,2002-09-02 00:00:00,,,6.9
